FISCAL_YEAR,ATS SYSTEM CODE,LOCATION_CODE,LOCATION_NAME,BEDS NUMBER,MANAGED_BY_NAME,LOCATION_TYPE_DESCRIPTION,LOCATION_CATEGORY_DESCRIPTION,GRADES_TEXT,GRADES_FINAL_TEXT,OPEN_DATE,STATUS_DESCRIPTIONS,PRIMARY_BUILDING_CODE,PRIMARY_ADDRESS_LINE_1,STATE_CODE,X_COORDINATE,Y_COORDINATE,COMMUNITY_DISTRICT,COUNCIL_DISTRICT,CENSUS_TRACT,BOROUGH_BLOCK_LOT,NTA,NTA_NAME,PRINCIPAL_NAME,PRINCIPAL_TITLE,PRINCIPAL_PHONE_NUMBER,FAX_NUMBER,GEOGRAPHICAL_DISTRICT_CODE,ADMIN_DISTRICT_LOCATION_CODE,ADMINISTRATIVE_DISTRICT_NAME,COMMUNITY_SCHOOL_SUP_NAME,FIELD_SUPPORT_CENTER_NAME,FIELD_SUPPORT_CENTER_LEADER_NAME,SCHOOL_SUPPORT_TEAM_NAME,SCHOOL_SUPPORT_TEAM_LEADER_NAME,HIGHSCHOOL_NETWORK_LOCATION_CODE,HIGHSCHOOL_NETWORK_NAME,HIGHSCHOOL_NETWORK_SUPERINTENDENT,Location 1
2013,08X062      ,X062,P.S. 062 Inocensio Casanova,320800010062,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1922 12:00:00 AM,Open,X062,660 FOX STREET,NY,1011886,235759,202,8,8300,2026830065,BX33,Longwood                                                                   ,LISA MANFREDONIA,PRINCIPAL,718-585-1617,718-292-6327,8,NULL,COMMUNITY SCHOOL DISTRICT 08,"BEHR, TIMOTHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"660 FOX STREET
BRONX, NY 10455
(40.813736, -73.900161)"
2013,08X069      ,X069,P.S. 069 Journey Prep School,320800010069,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1924 12:00:00 AM,Open,X069,560 THERIOT AVENUE,NY,1022874,236854,209,18,1600,2035240020,BX09,Soundview-Castle Hill-Clason Point-Harding Park                            ,SHEILA DURANT,PRINCIPAL,718-378-4736,718-328-0925,8,NULL,COMMUNITY SCHOOL DISTRICT 08,"BEHR, TIMOTHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"560 THERIOT AVENUE
BRONX, NY 10473
(40.8167, -73.86046)"
2013,08X071      ,X071,P.S. 071 Rose E. Scala,320800010071,DOE,General Academic,K-8,"0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",07/01/1925 12:00:00 AM,Open,X071,3040 ROBERTS AVENUE,NY,1031406,247318,210,13,26602,2041710001,BX10,Pelham Bay-Country Club-City Island                                        ,Phyllis Calzolaio,PRINCIPAL,718-822-5351,718-239-3111,8,NULL,COMMUNITY SCHOOL DISTRICT 08,"BEHR, TIMOTHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"3040 ROBERTS AVENUE
BRONX, NY 10461
(40.845379, -73.829562)"
2013,08X072      ,X072,P.S. 072 Dr. William Dorney,320800010072,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05,SE",07/01/1925 12:00:00 AM,Open,X072,2951 DEWEY AVENUE,NY,1034574,239257,210,13,15800,2054400001,BX52,Schuylerville-Throgs Neck-Edgewater Park                                   ,MARGARITA COLON,PRINCIPAL,718-822-5311,718-828-4459,8,NULL,COMMUNITY SCHOOL DISTRICT 08,"BEHR, TIMOTHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2951 DEWEY AVENUE
BRONX, NY 10465
(40.823237, -73.818172)"
2013,08X075      ,X075,P.S. 75 School of Research and Discovery,320800010075,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1924 12:00:00 AM,Open,X075,984 FAILE STREET,NY,1014986,238888,202,17,11900,2027470001,BX27,Hunts Point                                                                ,Marines Arrieta-Cruz,PRINCIPAL,718-860-1630,718-860-4480,8,NULL,COMMUNITY SCHOOL DISTRICT 08,"BEHR, TIMOTHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"984 FAILE STREET
BRONX, NY 10459
(40.822314, -73.888948)"
2013,08X093      ,X093,P.S. 093 Albert G. Oliver,320800010093,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1930 12:00:00 AM,Open,X093,1535 STORY AVENUE,NY,1018217,238968,209,17,2800,2036520001,BX09,Soundview-Castle Hill-Clason Point-Harding Park                            ,JONATHAN KAPLAN,I.A. PRINCIPAL,718-842-2655,718-328-5506,8,NULL,COMMUNITY SCHOOL DISTRICT 08,"BEHR, TIMOTHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1535 STORY AVENUE
BRONX, NY 10473
(40.822522, -73.877274)"
2013,08X100      ,X100,P.S. 100 Isaac Clason,320800010100,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1961 12:00:00 AM,Open,X100,800 TAYLOR AVENUE,NY,1022234,238985,209,18,4200,2036410001,BX09,Soundview-Castle Hill-Clason Point-Harding Park                            ,CHAD ADAM ALTMAN,PRINCIPAL,718-842-1461,718-328-5520,8,NULL,COMMUNITY SCHOOL DISTRICT 08,"BEHR, TIMOTHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"800 TAYLOR AVENUE
BRONX, NY 10473
(40.822552, -73.86276)"
2013,08X101      ,X101,M.S. X101 Edward R. Byrne,320800010101,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",07/01/1957 12:00:00 AM,Open,X101,2750 LAFAYETTE AVENUE,NY,1031516,240651,210,13,15200,2055470001,BX52,Schuylerville-Throgs Neck-Edgewater Park                                   ,Jared Rosoff,PRINCIPAL,718-829-6372,718-829-6594,8,NULL,COMMUNITY SCHOOL DISTRICT 08,"BEHR, TIMOTHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2750 LAFAYETTE AVENUE
BRONX, NY 10465
(40.82708, -73.829211)"
2013,08X107      ,X107,P.S. 107,320800010107,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1937 12:00:00 AM,Open,X107,1695 SEWARD AVENUE,NY,1020582,237769,209,18,2000,2035910050,BX09,Soundview-Castle Hill-Clason Point-Harding Park                            ,Katherine Hamm,I.A. PRINCIPAL,718-860-8760,718-328-5799,8,NULL,COMMUNITY SCHOOL DISTRICT 08,"BEHR, TIMOTHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1695 SEWARD AVENUE
BRONX, NY 10473
(40.819221, -73.868735)"
2013,08X119      ,X119,P.S. 119,320800010119,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1939 12:00:00 AM,Open,X119,1075 PUGSLEY AVENUE,NY,1023716,241145,209,18,4001,2037890021,BX55,Soundview-Bruckner                                                         ,LYDIA TYNER,PRINCIPAL,718-822-5198,718-239-3112,8,NULL,COMMUNITY SCHOOL DISTRICT 08,"BEHR, TIMOTHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1075 PUGSLEY AVENUE
BRONX, NY 10472
(40.828474, -73.857392)"
2013,08X123      ,X123,J.H.S. 123 James M. Kieran,320800010123,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",07/01/1953 12:00:00 AM,Open,X123,1025 MORRISON AVENUE,NY,1019077,239868,209,18,4800,2037180001,BX55,Soundview-Bruckner                                                         ,Tyra Williams,PRINCIPAL,718-328-2105,718-328-8561,8,NULL,COMMUNITY SCHOOL DISTRICT 08,"BEHR, TIMOTHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1025 MORRISON AVENUE
BRONX, NY 10472
(40.824989, -73.874162)"
2013,08X125      ,X125,J.H.S. 125 Henry Hudson,320800010125,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",07/01/1952 12:00:00 AM,Open,X125,1111 PUGSLEY AVENUE,NY,1023580,241392,209,18,4001,2037900040,BX55,Soundview-Bruckner                                                         ,LORI ANNE DIMARCO EVANKO,I.A. PRINCIPAL,718-822-5186,718-239-3121,8,NULL,COMMUNITY SCHOOL DISTRICT 08,"BEHR, TIMOTHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1111 PUGSLEY AVENUE
BRONX, NY 10472
(40.829153, -73.857882)"
2013,08X130      ,X130,P.S. 130 Abram Stevens Hewitt,320800010130,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1956 12:00:00 AM,Open,X130,750 PROSPECT AVENUE,NY,1011456,237218,202,17,8500,2026880001,BX33,Longwood                                                                   ,LOURDES VELAZQUEZ,PRINCIPAL,718-665-0962,718-292-0417,8,NULL,COMMUNITY SCHOOL DISTRICT 08,"BEHR, TIMOTHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"750 PROSPECT AVENUE
BRONX, NY 10455
(40.817742, -73.901709)"
2013,08X131      ,X131,J.H.S. 131 Albert Einstein,320800010131,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",07/01/1966 12:00:00 AM,Open,X131,885 BOLTON AVENUE,NY,1022998,239122,209,18,4200,2036440001,BX09,Soundview-Castle Hill-Clason Point-Harding Park                            ,Monique Mason,I.A. PRINCIPAL,718-991-7490,718-328-6705,8,NULL,COMMUNITY SCHOOL DISTRICT 08,"BEHR, TIMOTHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"885 BOLTON AVENUE
BRONX, NY 10473
(40.822925, -73.859998)"
2013,08X138      ,X138,P.S. 138 Samuel Randall,320800010138,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1958 12:00:00 AM,Open,X138,2060 LAFAYETTE AVENUE,NY,1024892,238893,209,18,7400,2036090016,BX09,Soundview-Castle Hill-Clason Point-Harding Park                            ,Lorraine Carrol-Dawkins,PRINCIPAL,718-822-5325,718-239-3114,8,NULL,COMMUNITY SCHOOL DISTRICT 08,"BEHR, TIMOTHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2060 LAFAYETTE AVENUE
BRONX, NY 10473
(40.822288, -73.853157)"
2013,08X140      ,X140,P.S. X140 The Eagle School,320800010140,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1957 12:00:00 AM,Open,X140,916 EAGLE AVENUE,NY,1009854,239248,203,17,18500,2026270009,BX35,Morrisania-Melrose                                                         ,PAUL CANNON,PRINCIPAL,718-585-1205,718-292-1349,8,NULL,COMMUNITY SCHOOL DISTRICT 08,"BEHR, TIMOTHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"916 EAGLE AVENUE
BRONX, NY 10456
(40.823318, -73.907489)"
2013,08X146      ,X146,P.S. 146 Edward Collins,320800010146,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1958 12:00:00 AM,Open,X146,968 CAULDWELL AVENUE,NY,1010339,239758,203,16,18500,2026320027,BX35,Morrisania-Melrose                                                         ,JANET-ANN SANDERSON,PRINCIPAL,718-378-9664,718-328-5858,8,NULL,COMMUNITY SCHOOL DISTRICT 08,"BEHR, TIMOTHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"968 CAULDWELL AVENUE
BRONX, NY 10456
(40.824717, -73.905734)"
2013,08X152      ,X152,P.S. 152 Evergreen,320800010152,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05,SE",07/01/1975 12:00:00 AM,Open,X152,1007 EVERGREEN AVENUE,NY,1017329,239484,209,17,5200,2037110001,BX55,Soundview-Bruckner                                                         ,FRANCES LYNCH,PRINCIPAL,718-589-4560,718-328-5867,8,NULL,COMMUNITY SCHOOL DISTRICT 08,"BEHR, TIMOTHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1007 EVERGREEN AVENUE
BRONX, NY 10472
(40.823941, -73.880479)"
2013,08X182      ,X182,P.S. 182,320800010182,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1977 12:00:00 AM,Open,X182,601 STICKBALL BOULEVARD,NY,1023837,237666,209,18,1600,2035640001,BX09,Soundview-Castle Hill-Clason Point-Harding Park                            ,Anne O'Grady,PRINCIPAL,718-828-6607,718-409-8152,8,NULL,COMMUNITY SCHOOL DISTRICT 08,"BEHR, TIMOTHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"601 STICKBALL BOULEVARD
BRONX, NY 10473
(40.818925, -73.856976)"
2013,08X269      ,X269,Bronx Studio School for Writers and Artists,320800011269,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12",09/08/2004 12:00:00 AM,Open,X392,928 SIMPSON STREET,NY,1013876,238185,202,17,8900,2027230033,BX27,Hunts Point                                                                ,DAVID VAZQUEZ,PRINCIPAL,718-893-5158,718-893-5982,8,NULL,COMMUNITY SCHOOL DISTRICT 08,"BEHR, TIMOTHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"928 SIMPSON STREET
BRONX, NY 10459
(40.820388, -73.892961)"
2013,08X282      ,X282,Women's Academy of Excellence,320800011282,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",09/08/2004 12:00:00 AM,Open,X174,456 WHITE PLAINS ROAD,NY,1024090,236252,209,18,400,2034780018,BX09,Soundview-Castle Hill-Clason Point-Harding Park                            ,ARNETTE CROCKER,PRINCIPAL,718-542-0740,718-542-0841,8,NULL,COMMUNITY SCHOOL DISTRICT 08,NULL,NULL,NULL,NULL,NULL,HS06,HS Network 06,"STAPLE, CARRON","456 WHITE PLAINS ROAD
BRONX, NY 10473
(40.815043, -73.85607)"
2013,08X293      ,X293,Renaissance High School for Musical Theater & Tech,320800011293,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",09/08/2004 12:00:00 AM,Open,X405,3000 EAST TREMONT AVENUE,NY,1028637,245271,210,13,19400,2053680001,BX52,Schuylerville-Throgs Neck-Edgewater Park                                   ,MARIA N HERRERA,PRINCIPAL,718-430-6390,718-430-6308,8,NULL,COMMUNITY SCHOOL DISTRICT 08,NULL,NULL,NULL,NULL,NULL,HS06,HS Network 06,"STAPLE, CARRON","3000 EAST TREMONT AVENUE
BRONX, NY 10461
(40.839775, -73.839583)"
2013,08X295      ,X295,Gateway School for Environmental Research and Tech,320800011295,DOE,General Academic,High school,"09,10,11,12",,09/08/2004 12:00:00 AM,Open,X450,1980 LAFAYETTE AVENUE,NY,1024125,238502,209,18,1600,2036040039,BX09,Soundview-Castle Hill-Clason Point-Harding Park                            ,CLIFFORD SIEGEL,PRINCIPAL,718-824-9327,718-824-4368,8,NULL,COMMUNITY SCHOOL DISTRICT 08,NULL,NULL,NULL,NULL,NULL,HS06,HS Network 06,"STAPLE, CARRON","1980 LAFAYETTE AVENUE
BRONX, NY 10473
(40.821218, -73.85593)"
2013,08X301      ,X301,M.S. 301 Paul L. Dunbar,320800010301,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",07/01/2001 12:00:00 AM,Open,X120,890 CAULDWELL AVENUE,NY,1010062,238874,203,16,18500,2026310048,BX35,Morrisania-Melrose                                                         ,BENJAMIN BASILE,PRINCIPAL,718-585-2950,718-401-2567,8,NULL,COMMUNITY SCHOOL DISTRICT 08,"BEHR, TIMOTHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"890 CAULDWELL AVENUE
BRONX, NY 10456
(40.822291, -73.906739)"
2013,08X302      ,X302,M.S. 302 Luisa Dessus Cruz,320800010302,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",07/01/2001 12:00:00 AM,Open,X052,681 KELLY STREET,NY,1011487,236612,202,17,8300,2026860020,BX33,Longwood                                                                   ,LIZA ORTIZ,PRINCIPAL,718-292-6070,718-401-2958,8,NULL,COMMUNITY SCHOOL DISTRICT 08,"BEHR, TIMOTHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"681 KELLY STREET
BRONX, NY 10455
(40.816078, -73.901599)"
2013,08X304      ,X304,P.S. 304 Early Childhood School,320800010304,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/2001 12:00:00 AM,Open,X101,2750 LAFAYETTE AVENUE,NY,1031516,240651,210,13,15200,2055470001,BX52,Schuylerville-Throgs Neck-Edgewater Park                                   ,JOSEPH NOBILE,PRINCIPAL,718-822-5307,718-904-0956,8,NULL,COMMUNITY SCHOOL DISTRICT 08,"BEHR, TIMOTHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2750 LAFAYETTE AVENUE
BRONX, NY 10465
(40.82708, -73.829211)"
2013,08X305      ,X305,Pablo Neruda Academy for Architecture and World St,320800011305,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",09/08/2004 12:00:00 AM,Open,X450,1980 LAFAYETTE AVENUE,NY,1024125,238502,209,18,1600,2036040039,BX09,Soundview-Castle Hill-Clason Point-Harding Park                            ,Sabrina Cook,PRINCIPAL,718-824-1682,718-824-1663,8,NULL,COMMUNITY SCHOOL DISTRICT 08,NULL,NULL,NULL,NULL,NULL,HS06,HS Network 06,"STAPLE, CARRON","1980 LAFAYETTE AVENUE
BRONX, NY 10473
(40.821218, -73.85593)"
2013,08X312      ,X312,Millennium Art Academy,320800010312,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",09/08/2004 12:00:00 AM,Open,X450,1980 LAFAYETTE AVENUE,NY,1024125,238502,209,18,1600,2036040039,BX09,Soundview-Castle Hill-Clason Point-Harding Park                            ,HERMAN GUY,I.A. PRINCIPAL,718-824-0978,718-824-0963,8,NULL,COMMUNITY SCHOOL DISTRICT 08,NULL,NULL,NULL,NULL,NULL,HS06,HS Network 06,"STAPLE, CARRON","1980 LAFAYETTE AVENUE
BRONX, NY 10473
(40.821218, -73.85593)"
2013,08X332      ,X332,Holcombe L. Rucker School of Community Research,320800011332,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",07/01/2006 12:00:00 AM,Open,X039,965 LONGWOOD AVENUE,NY,1012517,237219,202,17,8700,2027100001,BX33,Longwood                                                                   ,SHARIF RUCKER,PRINCIPAL,718-860-1053,718-860-1321,8,NULL,COMMUNITY SCHOOL DISTRICT 08,NULL,NULL,NULL,NULL,NULL,HS06,HS Network 06,"STAPLE, CARRON","965 LONGWOOD AVENUE
BRONX, NY 10459
(40.817741, -73.897876)"
2013,08X333      ,X333,P.S. 333 - The Museum School,320800010333,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03",09/08/2004 12:00:00 AM,Open,X060,888 REV J A POLITE AVE,NY,1012371,238081,202,17,8700,2026960085,BX33,Longwood                                                                   ,Arthur Brown,PRINCIPAL,718-860-3313,718-842-8734,8,NULL,COMMUNITY SCHOOL DISTRICT 08,"BEHR, TIMOTHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"888 REV J A POLITE AVE
BRONX, NY 10459
(40.820108, -73.898399)"
2013,08X335      ,X335,The Academy of the Arts,320800010335,DOE,General Academic,Elementary,"PK,0K,01,02,04,05,SE","04,05",09/08/2004 12:00:00 AM,Open,X060,888 REV J A POLITE AVE,NY,1012371,238081,202,17,8700,2026960085,BX33,Longwood                                                                   ,Glorimer Lopez,I.A. PRINCIPAL,718-860-3401,718-860-4290,8,NULL,COMMUNITY SCHOOL DISTRICT 08,"BEHR, TIMOTHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"888 REV J A POLITE AVE
BRONX, NY 10459
(40.820108, -73.898399)"
2013,08X337      ,X337,The School for Inquiry and Social Justice,320800010337,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",09/08/2004 12:00:00 AM,Open,X123,1025 MORRISON AVENUE,NY,1019077,239868,209,18,4800,2037180001,BX55,Soundview-Bruckner                                                         ,Andrea Cyprys,PRINCIPAL,718-860-4181,718-860-4163,8,NULL,COMMUNITY SCHOOL DISTRICT 08,"BEHR, TIMOTHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1025 MORRISON AVENUE
BRONX, NY 10472
(40.824989, -73.874162)"
2013,08X366      ,X366,Urban Assembly Academy of Civic Engagement,320800010366,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",07/01/2007 12:00:00 AM,Open,X192,650 HOLLYWOOD AVENUE,NY,1034596,240553,210,13,15800,2054380001,BX52,Schuylerville-Throgs Neck-Edgewater Park                                   ,Mary anne Sheppard,I.A. PRINCIPAL,718-822-0126,718-822-1049,8,NULL,COMMUNITY SCHOOL DISTRICT 08,"BEHR, TIMOTHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"650 HOLLYWOOD AVENUE
BRONX, NY 10465
(40.826794, -73.818083)"
2013,08X367      ,X367,"Archimedes Academy for Math, Science and Technolog",320800011367,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,09,10,11,SE","06,07,08,09,10,11,12",07/01/2007 12:00:00 AM,Open,X174,456 WHITE PLAINS ROAD,NY,1024090,236252,209,18,400,2034780018,BX09,Soundview-Castle Hill-Clason Point-Harding Park                            ,MIRIAM LAZAR,PRINCIPAL,718-617-5046,718-617-7395,8,NULL,COMMUNITY SCHOOL DISTRICT 08,"BEHR, TIMOTHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"456 WHITE PLAINS ROAD
BRONX, NY 10473
(40.815043, -73.85607)"
2013,08X371      ,X371,Urban Institute of Mathematics,320800010371,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",07/01/2007 12:00:00 AM,Open,X192,650 HOLLYWOOD AVENUE,NY,1034596,240553,210,13,15800,2054380001,BX52,Schuylerville-Throgs Neck-Edgewater Park                                   ,JENNIFER JOYNT,PRINCIPAL,718-823-6042,718-823-6347,8,NULL,COMMUNITY SCHOOL DISTRICT 08,"BEHR, TIMOTHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"650 HOLLYWOOD AVENUE
BRONX, NY 10465
(40.826794, -73.818083)"
2013,08X375      ,X375,The Bronx Mathematics Preparatory School,320800010375,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",07/01/2007 12:00:00 AM,Open,X174,456 WHITE PLAINS ROAD,NY,1024090,236252,209,18,400,2034780018,BX09,Soundview-Castle Hill-Clason Point-Harding Park                            ,Anya Munce,PRINCIPAL,718-542-5063,718-542-5236,8,NULL,COMMUNITY SCHOOL DISTRICT 08,"BEHR, TIMOTHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"456 WHITE PLAINS ROAD
BRONX, NY 10473
(40.815043, -73.85607)"
2013,08X376      ,X376,Antonia Pantoja Preparatory Academy: A College Boa,320800011376,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,09,10,11,SE","06,07,08,09,10,11,12",07/01/2007 12:00:00 AM,Open,X450,1980 LAFAYETTE AVENUE,NY,1024125,238502,209,18,1600,2036040039,BX09,Soundview-Castle Hill-Clason Point-Harding Park                            ,NANCY JACQUELINE DIAZ,PRINCIPAL,718-824-3152,718-824-3543,8,NULL,COMMUNITY SCHOOL DISTRICT 08,"BEHR, TIMOTHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1980 LAFAYETTE AVENUE
BRONX, NY 10473
(40.821218, -73.85593)"
2013,08X377      ,X377,Bronx Community High School,320800011377,DOE,Transfer School,High school,"09,10,11,12","09,10,11,12",07/01/2007 12:00:00 AM,Open,X450,1980 LAFAYETTE AVENUE,NY,1024125,238502,209,18,1600,2036040039,BX09,Soundview-Castle Hill-Clason Point-Harding Park                            ,Flora Greenaway,PRINCIPAL,718-892-1026,718-892-6941,8,NULL,COMMUNITY SCHOOL DISTRICT 08,NULL,NULL,NULL,NULL,NULL,HS06,HS Network 06,"STAPLE, CARRON","1980 LAFAYETTE AVENUE
BRONX, NY 10473
(40.821218, -73.85593)"
2013,08X405      ,X405,Herbert H. Lehman High School.,320800011405,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",07/01/1972 12:00:00 AM,Open,X405,3000 EAST TREMONT AVENUE,NY,1028637,245271,210,13,19400,2053680001,BX52,Schuylerville-Throgs Neck-Edgewater Park                                   ,R LOBIANCO,PRINCIPAL,718-904-4200,718-904-4285,8,NULL,COMMUNITY SCHOOL DISTRICT 08,NULL,NULL,NULL,NULL,NULL,HS06,HS Network 06,"STAPLE, CARRON","3000 EAST TREMONT AVENUE
BRONX, NY 10461
(40.839775, -73.839583)"
2013,08X424      ,X424,The Hunts Point School,320800010424,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",07/01/2008 12:00:00 AM,Open,X074,730 BRYANT AVENUE,NY,1016003,236526,202,17,11700,2027630279,BX27,Hunts Point                                                                ,Sonya Johnson,PRINCIPAL,718-328-1972,718-328-7330,8,NULL,COMMUNITY SCHOOL DISTRICT 08,"BEHR, TIMOTHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"730 BRYANT AVENUE
BRONX, NY 10474
(40.815827, -73.885284)"
2013,08X432      ,X432,BRONX BRIDGES HIGH SCHOOL,320800011432,DOE,General Academic,High school,"09,10,11,SE","09,10,11,12",07/01/2010 12:00:00 AM,Open,X450,1980 LAFAYETTE AVENUE,NY,1024125,238502,209,18,1600,2036040039,BX09,Soundview-Castle Hill-Clason Point-Harding Park                            ,Pablo Villavicencio,PRINCIPAL,718-829-2984,718-829-2987,8,NULL,COMMUNITY SCHOOL DISTRICT 08,NULL,NULL,NULL,NULL,NULL,HS06,HS Network 06,"STAPLE, CARRON","1980 LAFAYETTE AVENUE
BRONX, NY 10473
(40.821218, -73.85593)"
2013,08X448      ,X448,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,320800010448,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",07/01/2009 12:00:00 AM,Open,X131,885 BOLTON AVENUE,NY,1022998,239122,209,18,4200,2036440001,BX09,Soundview-Castle Hill-Clason Point-Harding Park                            ,WILLIAM FRACKELTON,PRINCIPAL,718-991-4027,718-991-4807,8,NULL,COMMUNITY SCHOOL DISTRICT 08,"BEHR, TIMOTHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"885 BOLTON AVENUE
BRONX, NY 10473
(40.822925, -73.859998)"
2013,08X452      ,X452,Bronx Guild,320800011452,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",07/01/2001 12:00:00 AM,Open,X450,1980 LAFAYETTE AVENUE,NY,1024125,238502,209,18,1600,2036040039,BX09,Soundview-Castle Hill-Clason Point-Harding Park                            ,Sam Decker,PRINCIPAL,718-597-1587,718-597-1371,8,NULL,COMMUNITY SCHOOL DISTRICT 08,NULL,NULL,NULL,NULL,NULL,HS06,HS Network 06,"STAPLE, CARRON","1980 LAFAYETTE AVENUE
BRONX, NY 10473
(40.821218, -73.85593)"
